연도,패키지SW,IT서비스,게임SW
2015,10308 ,7414 ,2099 
2016,10897 ,7403 ,1856 
2017,11214 ,7409 ,1871 
2018,15028 ,8741 ,2001 
2019,14015 ,9175 ,1998 
