연도,ICT 서비스,기기,SW
2011,1251 ,2084 ,3318 
2012,1068 ,3306 ,3504 
2013,1034 ,3581 ,3458 
2014,1114 ,3900 ,3629 
2015,1462 ,3836 ,3983 
2016,1564 ,3487 ,4550 
2017,1366 ,3874 ,4543 
2018,1347 ,3339 ,5431 
2019,1726 ,3290 ,5566 
2020,2134 ,3135 ,6484 
