연도,패키지SW,IT서비스,게임SW
2009,3.3,22.7,4.6
2010,3.7,23.5,5.6
2011,4,25.5,7
2012,4.4,26.6,7.9
2013,6.5,27.9,8
2014,8.1,28.3,8.7
2015,8.7,29.6,9
2016,7.6,31.8,10
2017,8.9,33.7,11.4
2018,10.3,34.9,11.9
2019,12.2,37.7,12
2020,13.1,39.2,14.1
