연도,클라우드,빅데이터,IoT,AI,VR/AR/MR,블록체인
2018,999 ,656 ,587 ,320 ,348 ,198 
2019,1079 ,650 ,659 ,580 ,322 ,191 
2020,1116 ,688 ,612 ,642 ,393 ,194 
