연도,패키지SW,IT서비스,게임SW
2009, 1.6 , 8.6 , 12.4 
2010, 3.0 , 10.4 , 16.1 
2011, 3.3 , 11.9 , 23.8 
2012, 8.7 , 15.5 , 26.4 
2013, 21.1 , 20.7 , 27.2 
2014, 28.1 , 27.2 , 29.7 
2015, 28.3 , 32.2 , 32.2 
2016,9.4 ,61.1 ,32.8 
2017,10.3 ,61.5 ,52.0 
2018,10.4 ,63.2 ,62.4 
2019,12.4 ,72.3 ,63.4 
2020,9.5 ,75.1 ,64.0 
